,재비산먼지 평균농도(㎍/㎥)
0,5.0
1,4.0
2,8.0
3,8.0
4,7.0
5,7.0
6,7.0
7,3.0
8,3.0
9,3.0
10,7.0
11,36.0
12,36.0
13,24.0
14,83.0
15,24.0
16,23.0
17,46.0
18,29.0
19,51.0
20,23.0
21,27.0
22,10.0
23,10.0
24,10.0
25,12.0
26,121.0
27,40.0
28,47.0
29,108.0
30,93.0
31,50.0
32,91.0
33,30.0
34,34.0
35,31.0
36,91.0
37,35.0
38,22.0
39,27.0
40,18.0
41,17.0
42,21.0
43,32.0
44,52.0
45,29.0
46,17.0
47,18.0
48,22.0
49,15.0
50,28.0
51,22.0
52,34.0
53,31.0
54,27.0
55,37.0
56,28.0
57,29.0
58,21.0
59,21.0
60,13.0
61,18.0
62,20.0
63,20.0
64,16.0
65,15.0
66,15.0
67,22.0
68,18.0
69,16.0
70,12.0
71,8.0
72,8.0
73,5.0
74,8.0
75,6.0
76,14.0
77,11.0
78,8.0
79,8.0
80,8.0
81,9.0
82,12.0
83,14.0
84,13.0
85,14.0
86,14.0
87,10.0
88,16.0
89,10.0
90,5.0
91,1.0
92,10.0
93,6.0
94,10.0
95,9.0
96,13.0
97,17.0
98,11.0
99,9.0
100,6.0
101,26.0
102,19.0
103,10.0
104,9.0
105,12.0
106,7.0
107,12.0
108,16.0
109,14.0
110,8.0
111,9.0
112,9.0
113,23.0
114,13.0
115,54.0
116,14.0
117,4.0
118,1.0
119,6.0
120,5.0
121,7.0
122,10.0
123,5.0
124,5.0
125,2.0
126,2.0
127,4.0
128,2.0
129,5.0
130,5.0
131,5.0
132,4.0
133,4.0
134,4.0
135,39.0
136,64.0
137,14.0
138,23.0
139,13.0
140,11.0
141,6.0
142,8.0
143,12.0
144,2.0
145,18.0
146,10.0
147,25.0
148,6.0
149,7.0
150,9.0
151,19.0
152,38.0
153,20.0
154,121.0
155,14.0
156,17.0
157,12.0
158,14.0
159,13.0
160,20.0
161,12.0
162,33.0
163,17.0
164,21.0
165,18.0
166,11.0
167,27.0
168,9.0
169,13.0
170,10.0
171,8.0
172,13.0
173,14.0
174,10.0
175,22.0
176,8.0
177,16.0
178,6.0
179,22.0
180,11.0
181,10.0
182,11.0
183,12.0
184,8.0
185,8.0
186,19.0
187,8.0
188,10.0
189,14.0
190,8.0
191,13.0
192,8.0
193,8.0
194,8.0
195,4.0
196,3.0
197,5.0
198,2.0
199,4.0
200,3.0
201,2.0
202,4.0
203,8.0
204,7.0
205,5.0
206,12.0
207,7.0
208,6.0
209,6.0
210,13.0
211,6.0
212,9.0
213,8.0
214,2.0
215,8.0
216,18.0
217,7.0
218,16.0
219,13.0
220,8.0
221,3.0
222,6.0
223,4.0
224,33.0
225,6.0
226,11.0
227,6.0
228,20.0
229,9.0
230,4.0
231,10.0
232,5.0
233,11.0
234,152.0
235,13.0
236,27.0
237,24.0
238,16.0
239,26.0
240,15.0
241,14.0
242,27.0
243,3.0
244,4.0
245,2.0
246,13.0
247,39.0
248,20.0
249,15.0
250,8.0
251,12.0
252,7.0
253,3.0
254,4.0
255,3.0
256,7.0
257,10.0
258,8.0
259,5.0
260,4.0
261,26.0
262,4.0
263,5.0
264,4.0
265,5.0
266,7.0
267,6.0
268,8.0
269,3.0
270,4.0
271,7.0
272,2.0
273,8.0
274,6.0
275,8.0
276,5.0
277,7.0
278,24.0
279,28.0
280,21.0
281,8.0
282,6.0
283,38.0
284,40.0
285,33.0
286,84.0
287,45.0
288,30.0
289,20.0
290,31.0
291,30.0
292,11.0
293,88.0
294,5.0
295,27.0
296,19.0
297,27.0
298,16.0
299,25.0
300,11.0
301,10.0
302,16.0
303,14.0
304,7.0
305,7.0
306,11.0
307,8.0
308,11.0
309,7.0
310,10.0
311,26.0
312,9.0
313,15.0
314,7.0
315,52.0
316,12.0
317,10.0
318,9.0
319,14.0
320,49.0
321,169.20999999999913
322,22.0
323,11.0
324,26.0
325,15.0
326,17.0
327,11.0
328,7.0
329,8.0
330,21.0
331,36.0
332,9.0
333,8.0
334,12.0
335,22.0
336,13.0
337,20.0
338,6.0
339,7.0
340,33.0
341,5.0
342,6.0
343,15.0
344,10.0
345,16.0
346,10.0
347,15.0
348,4.0
349,9.0
350,18.0
351,37.0
352,169.20999999999913
353,10.0
354,10.0
355,11.0
356,6.0
357,9.0
358,12.0
359,12.0
360,9.0
361,9.0
362,13.0
363,19.0
364,11.0
365,25.0
366,13.0
367,5.0
368,5.0
369,4.0
370,17.0
371,63.0
372,4.0
373,14.0
374,11.0
375,6.0
376,6.0
377,18.0
378,2.0
379,3.0
380,7.0
381,8.0
382,7.0
383,4.0
384,3.0
385,2.0
386,4.0
387,5.0
388,4.0
389,3.0
390,4.0
391,3.0
392,5.0
393,6.0
394,5.0
395,5.0
396,11.0
397,7.0
398,5.0
399,10.0
400,11.0
401,10.0
402,8.0
403,19.0
404,6.0
405,5.0
406,6.0
407,8.0
408,12.0
409,7.0
410,6.0
411,5.0
412,4.0
413,15.0
414,16.0
415,4.0
416,4.0
417,7.0
418,10.0
419,5.0
420,4.0
421,7.0
422,6.0
423,7.0
424,10.0
425,6.0
426,4.0
427,6.0
428,5.0
429,7.0
430,7.0
431,37.0
432,20.0
433,16.0
434,6.0
435,13.0
436,53.0
437,10.0
438,25.0
439,15.0
440,10.0
441,39.0
442,8.0
443,10.0
444,7.0
445,7.0
446,13.0
447,120.0
448,8.0
449,28.0
450,26.0
451,21.0
452,36.0
453,8.0
454,13.0
455,39.0
456,15.0
457,14.0
458,10.0
459,18.0
460,31.0
461,41.0
462,18.0
463,14.0
464,15.0
465,16.0
466,16.0
467,18.0
468,32.0
469,27.0
470,16.0
471,13.0
472,12.0
473,9.0
474,32.0
475,4.0
476,11.0
477,22.0
478,2.0
479,11.0
480,7.0
481,6.0
482,23.0
483,10.0
484,10.0
485,6.0
486,8.0
487,15.0
488,4.0
489,3.0
490,3.0
491,20.0
492,4.0
493,4.0
494,17.0
495,33.0
496,4.0
497,10.0
498,4.0
499,5.0
500,5.0
501,2.0
502,3.0
503,3.0
504,6.0
505,7.0
506,3.0
507,5.0
508,5.0
509,2.0
510,2.0
511,4.0
512,19.0
513,5.0
514,93.0
515,9.0
516,3.0
517,7.0
518,12.0
519,11.0
520,156.0
521,18.0
522,12.0
523,5.0
524,7.0
525,18.0
526,67.0
527,13.0
528,7.0
529,10.0
530,12.0
531,6.0
532,4.0
533,8.0
534,9.0
535,9.0
536,8.0
537,6.0
538,8.0
539,7.0
540,6.0
541,36.0
542,29.0
543,3.0
544,11.0
545,5.0
546,6.0
547,13.0
548,5.0
549,7.0
550,25.0
551,4.0
552,4.0
553,7.0
554,7.0
555,1.0
556,5.0
557,15.0
558,3.0
559,3.0
560,9.0
561,4.0
562,4.0
563,10.0
564,4.0
565,3.0
566,10.0
567,12.0
568,10.0
569,9.0
570,13.0
571,18.0
572,14.0
573,10.0
574,13.0
575,8.0
576,13.0
577,6.0
578,18.0
579,10.0
580,6.0
581,169.20999999999913
582,17.0
583,6.0
584,8.0
585,7.0
586,7.0
587,8.0
588,5.0
589,7.0
590,6.0
591,5.0
592,5.0
593,9.0
594,15.0
595,8.0
596,169.20999999999913
597,11.0
598,8.0
599,9.0
600,6.0
601,8.0
602,7.0
603,9.0
604,21.0
605,23.0
606,5.0
607,54.0
608,7.0
609,14.0
610,5.0
611,12.0
612,12.0
613,7.0
614,8.0
615,6.0
616,10.0
617,7.0
618,9.0
619,8.0
620,6.0
621,4.0
622,3.0
623,3.0
624,4.0
625,5.0
626,3.0
627,4.0
628,5.0
629,3.0
630,5.0
631,4.0
632,4.0
633,5.0
634,4.0
635,4.0
636,6.0
637,5.0
638,9.0
639,4.0
640,6.0
641,5.0
642,7.0
643,4.0
644,6.0
645,4.0
646,7.0
647,9.0
648,4.0
649,10.0
650,5.0
651,11.0
652,21.0
653,11.0
654,12.0
655,27.0
656,16.0
657,30.0
658,18.0
659,11.0
660,16.0
661,13.0
662,11.0
663,6.0
664,5.0
665,4.0
666,6.0
667,5.0
668,4.0
669,3.0
670,4.0
671,3.0
672,3.0
673,18.0
674,21.0
675,19.0
676,19.0
677,19.0
678,18.0
679,8.0
680,10.0
681,20.0
682,10.0
683,31.0
684,6.0
685,18.0
686,4.0
687,9.0
688,18.0
689,5.0
690,8.0
691,12.0
692,16.0
693,13.0
694,10.0
695,40.0
696,11.0
697,14.0
698,12.0
699,11.0
700,7.0
701,11.0
702,8.0
703,8.0
704,11.0
705,9.0
706,10.0
707,10.0
708,15.0
709,11.0
710,11.0
711,9.0
712,8.0
713,8.0
714,5.0
715,7.0
716,8.0
717,9.0
718,6.0
719,5.0
720,6.0
721,5.0
722,6.0
723,7.0
724,5.0
725,8.0
726,7.0
727,6.0
728,8.0
729,10.0
730,5.0
731,5.0
732,6.0
733,5.0
734,2.0
735,6.0
736,6.0
737,39.0
738,5.0
739,3.0
740,9.0
741,5.0
742,20.0
743,7.0
744,5.0
745,9.0
746,7.0
747,124.0
748,11.0
749,14.0
750,6.0
751,5.0
752,22.0
753,8.0
754,6.0
755,5.0
756,5.0
757,3.0
758,17.0
759,11.0
760,20.0
761,12.0
762,6.0
763,8.0
764,5.0
765,30.0
766,6.0
767,11.0
768,11.0
769,18.0
770,8.0
771,10.0
772,25.0
773,20.0
774,12.0
775,10.0
776,19.0
777,15.0
778,33.0
779,5.0
780,6.0
781,6.0
782,5.0
783,2.0
784,4.0
785,7.0
786,1.0
787,8.0
788,4.0
789,1.0
790,3.0
791,2.0
792,5.0
793,8.0
794,3.0
795,4.0
796,5.0
797,3.0
798,4.0
799,4.0
800,5.0
801,5.0
802,4.0
803,5.0
804,2.0
805,13.0
806,9.0
807,8.0
808,9.0
809,9.0
810,12.0
811,13.0
812,10.0
813,9.0
814,10.0
815,7.0
816,5.0
817,8.0
818,4.0
819,4.0
820,2.0
821,10.0
822,9.0
823,15.0
824,13.0
825,10.0
826,8.0
827,6.0
828,6.0
829,7.0
830,7.0
831,16.0
832,5.0
833,5.0
834,5.0
835,2.0
836,1.0
837,5.0
838,2.0
839,4.0
840,9.0
841,4.0
842,4.0
843,3.0
844,8.0
845,8.0
846,13.0
847,9.0
848,92.0
849,14.0
850,5.0
851,4.0
852,9.0
853,6.0
854,56.0
855,4.0
856,5.0
857,9.0
858,7.0
859,9.0
860,4.0
861,15.0
862,27.0
863,16.0
864,22.0
865,13.0
866,14.0
867,14.0
868,13.0
869,13.0
870,16.0
871,16.0
872,26.0
873,23.0
874,32.0
875,14.0
876,11.0
877,17.0
878,10.0
879,7.0
880,12.0
881,23.0
882,96.0
883,16.0
884,7.0
885,6.0
886,6.0
887,9.0
888,12.0
889,6.0
890,14.0
891,36.0
892,11.0
893,9.0
894,9.0
895,10.0
896,12.0
897,14.0
898,24.0
899,13.0
900,28.0
901,6.0
902,7.0
903,6.0
904,7.0
905,7.0
906,7.0
907,8.0
908,6.0
909,16.0
910,10.0
911,21.0
912,11.0
913,11.0
914,6.0
915,9.0
916,15.0
917,10.0
918,10.0
919,7.0
920,11.0
921,10.0
922,7.0
923,10.0
924,10.0
925,7.0
926,18.0
927,54.0
928,39.0
929,61.0
930,10.0
931,16.0
932,7.0
933,10.0
934,32.0
935,14.0
936,5.0
937,15.0
938,4.0
939,5.0
940,5.0
941,8.0
942,4.0
943,4.0
944,4.0
945,3.0
946,50.0
947,10.0
948,4.0
949,6.0
950,24.0
951,56.0
952,47.0
953,25.0
954,23.0
955,20.0
956,21.0
957,38.0
958,23.0
959,27.0
960,15.0
961,79.0
962,16.0
963,8.0
964,8.0
965,5.0
966,6.0
967,5.0
968,4.0
969,4.0
970,33.0
971,9.0
972,4.0
973,6.0
974,7.0
975,6.0
976,6.0
977,10.0
978,6.0
979,5.0
980,9.0
981,11.0
982,15.0
983,16.0
984,19.0
985,18.0
986,40.0
