CELL_ID,lat,lon,CELL_X,CELL_Y,PM10_ugm3,datetime
다사54504050,37.4648535312386,126.985479280839,954625,1940625,45.990395,2025-10-01 10:00:00
다사54255675,37.6113064605341,126.981639435315,954375,1956875,41.154465,2025-10-01 10:00:00
다사54255700,37.613559742737706,126.98162379468201,954375,1957125,41.085484,2025-10-01 10:00:00
다사54255725,37.615813024073205,126.98160815230601,954375,1957375,40.263367,2025-10-01 10:00:00
다사54255750,37.618066304540704,126.981592508188,954375,1957625,40.096508,2025-10-01 10:00:00
다사54255575,37.6022933230394,126.98170198043002,954375,1955875,41.33621,2025-10-01 10:00:00
다사54255600,37.6045466087151,126.981686346764,954375,1956125,41.303913,2025-10-01 10:00:00
다사54255625,37.6067998935228,126.98167071135599,954375,1956375,41.26406,2025-10-01 10:00:00
다사54255650,37.6090531774624,126.981655074206,954375,1956625,41.212013,2025-10-01 10:00:00
다사54255875,37.6293326938562,126.981514261452,954375,1958875,39.063698,2025-10-01 10:00:00
다사54255900,37.631585969114795,126.98149860687401,954375,1959125,38.82806,2025-10-01 10:00:00
다사54255925,37.6338392435052,126.981482950553,954375,1959375,38.78922,2025-10-01 10:00:00
다사54255950,37.6360925170274,126.981467292487,954375,1959625,38.544193,2025-10-01 10:00:00
다사54255775,37.6203195841401,126.981576862327,954375,1957875,39.914932,2025-10-01 10:00:00
다사54255800,37.6225728628713,126.981561214723,954375,1958125,39.712284,2025-10-01 10:00:00
다사54255825,37.6248261407344,126.981545565376,954375,1958375,39.499943,2025-10-01 10:00:00
다사54255850,37.6270794177294,126.981529914286,954375,1958625,39.288757,2025-10-01 10:00:00
다사54005750,37.6180538937833,126.97875978754601,954125,1957625,40.02878,2025-10-01 10:00:00
다사54005775,37.6203071723795,126.978744056201,954125,1957875,39.847927,2025-10-01 10:00:00
다사54005800,37.6225604501075,126.978728323104,954125,1958125,39.658813,2025-10-01 10:00:00
다사54005825,37.6248137269673,126.978712588254,954125,1958375,39.448605,2025-10-01 10:00:00
다사54005650,37.6090407707171,126.978822695405,954125,1956625,41.149864,2025-10-01 10:00:00
다사54005675,37.611294052785894,126.978806971068,954125,1956875,41.08726,2025-10-01 10:00:00
다사54005700,37.6135473339865,126.978791244979,954125,1957125,41.018024,2025-10-01 10:00:00
다사54005725,37.6158006143189,126.978775517139,954125,1957375,40.188423,2025-10-01 10:00:00
다사54005950,37.6360800982428,126.978633887708,954125,1959625,38.341167,2025-10-01 10:00:00
다사54006150,37.65410624713079,126.978507875622,954125,1961625,35.777565,2025-10-01 10:00:00
다사54006175,37.6563595118339,126.97849211621401,954125,1961875,35.663326,2025-10-01 10:00:00
다사54006200,37.6586127756686,126.978476355049,954125,1962125,35.564342,2025-10-01 10:00:00
다사54005850,37.627067002958896,126.978696851651,954125,1958625,39.239048,2025-10-01 10:00:00
다사54005875,37.629320278082204,126.97868111329599,954125,1958875,39.02701,2025-10-01 10:00:00
다사54005900,37.6315735523374,126.97866537318701,954125,1959125,38.80393,2025-10-01 10:00:00
다사54005925,37.6338268257242,126.978649631324,954125,1959375,38.576267,2025-10-01 10:00:00
다사54005350,37.5820013181871,126.979011250901,954125,1953625,42.682865,2025-10-01 10:00:00
다사54005375,37.5842546106716,126.97899554756701,954125,1953875,42.68567,2025-10-01 10:00:00
다사54005400,37.5865079022883,126.978979842484,954125,1954125,42.28503,2025-10-01 10:00:00
다사54005425,37.588761193037,126.978964135652,954125,1954375,42.283234,2025-10-01 10:00:00
다사54005250,37.5729881395705,126.97907404674999,954125,1952625,42.622143,2025-10-01 10:00:00
