sim,method,distance,score,score_per_distance,visited_nodes
0,GRASP,2.6853966195974293,889.0897468163852,331.0830918773472,11
0,ActiveSearch,3.1702412966589506,1789.326883536322,564.4132896157668,22
1,GRASP,2.241467138867197,692.7924849753117,309.07978255958534,11
1,ActiveSearch,2.9415736182896177,1349.3991342572644,458.7336067789007,26
2,GRASP,2.6567579123718446,799.3028120051929,300.85635858152006,15
2,ActiveSearch,2.923613892821822,1134.2811173232508,387.9721368598114,20
3,GRASP,2.4462300299543536,991.8913788609076,405.47739224754093,14
3,ActiveSearch,3.0716515737972117,1767.6296079576439,575.4653449535408,24
4,GRASP,2.633232286225568,632.8729205103855,240.34061995985732,14
4,ActiveSearch,3.110782920156437,1423.5339359833208,457.6126058642264,27
5,GRASP,1.912277648916258,879.4184687698867,459.8798764334255,13
5,ActiveSearch,2.944242977592016,1199.0003921323037,407.23540618835534,23
6,GRASP,2.0213184348291975,810.1563664760843,400.805707656268,17
6,ActiveSearch,2.806012652312413,1221.2325471033664,435.2197453126996,21
7,GRASP,2.3485873600170954,626.1475524670643,266.6059166121842,14
7,ActiveSearch,3.457931272063589,1281.8195757516305,370.6896130116162,20
8,GRASP,2.0638772334460675,952.5759647761673,461.5465919157675,14
8,ActiveSearch,3.4632166449391617,2121.8627466375547,612.6853591596405,23
9,GRASP,2.0820394135309606,878.9971507949316,422.1806383211498,14
9,ActiveSearch,3.4343304337379137,1598.2782756822492,465.3826535148033,26
10,GRASP,1.7941277327823573,868.6629408975265,484.16979507952766,14
10,ActiveSearch,2.879714018872071,1334.6451733699084,463.46432359569496,25
11,GRASP,2.1334713421944635,566.9899645403007,265.75922889963584,13
11,ActiveSearch,2.9337480123430724,916.7816009106682,312.4948988660997,23
12,GRASP,2.7517034750805647,432.80139573525645,157.28483914413985,14
12,ActiveSearch,3.2390027131460895,930.1450951668372,287.17012314362995,23
13,GRASP,2.2263777272309064,680.5111148583173,305.6582900900754,16
13,ActiveSearch,3.64829016946355,1314.2142701569119,360.2273527828525,23
14,GRASP,2.2345002301522228,757.4894801471055,338.9971193238065,14
14,ActiveSearch,3.412039671377509,1899.4994410091488,556.7048062889247,17
15,GRASP,2.2109325003308893,695.3389778483531,314.50017729809076,8
15,ActiveSearch,3.858513686118317,1588.8792741599539,411.7852084057696,17
16,GRASP,2.5609433300202795,650.1460579136201,253.8696567091998,14
16,ActiveSearch,2.938754778539285,1027.1322454274539,349.5126246720618,20
17,GRASP,1.9614599494382376,692.8098774771919,353.21114992149734,16
17,ActiveSearch,3.0564197675393325,1565.2302332345002,512.112157415629,26
18,GRASP,2.3558622387388684,561.8903858812673,238.50721749962713,18
18,ActiveSearch,3.64529778864583,1209.986838818329,331.93077137795325,24
19,GRASP,2.7016404059501804,769.3288403676163,284.7634918065818,13
19,ActiveSearch,2.8880560000368996,1167.7820117570684,404.3486716993979,20
