,distance,distance,score,score,score_per_distance,score_per_distance,visited_nodes,visited_nodes
,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,
ActiveSearch,3.191171694,0.309270483,1392.03302,325.5226104,436.258035,91.92826267,22.5,2.874570906
GRASP,2.30111015,0.289982139,741.4606941,144.0517747,329.7288471,86.48591782,13.85,2.18306882
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Method,distance,,score,,score per distance,,visited nodes,
,mean,std,mean,std,mean,std,mean,std
ActiveSearch,3.191171694,0.309270483,1392.03302,325.5226104,436.258035,91.92826267,22.5,2.874570906
GRASP,2.30111015,0.289982139,741.4606941,144.0517747,329.7288471,86.48591782,13.85,2.18306882
