route_order,grid_id,x,y,score
0,15269,0.8432836,0.10447761,0.99211514
1,16234,0.8955224,0.25373134,0.9989621
2,16635,0.91791046,0.22388059,0.9996677
3,16509,0.9104478,0.29104477,0.9987144
4,16649,0.91791046,0.3283582,0.99739766
5,16242,0.8955224,0.31343284,0.999717
6,15439,0.8507463,0.36567163,0.9992629
7,17332,0.95522386,0.3880597,0.9999793
8,14628,0.80597013,0.35820895,0.9997695
9,17476,0.96268654,0.45522386,0.99539226
10,16399,0.9029851,0.47761193,0.99966234
11,16407,0.9029851,0.53731346,0.99976784
12,14239,0.7835821,0.47761193,0.99705637
13,15063,0.82835823,0.58208954,0.99948645
14,13310,0.73134327,0.5970149,0.9999371
15,12906,0.7089552,0.60447764,0.99647886
16,12911,0.7089552,0.64179105,0.994819
17,12375,0.67910445,0.6716418,0.99446625
18,14403,0.7910448,0.69402987,0.9968475
19,15211,0.8358209,0.67910445,0.99592435
20,14410,0.7910448,0.74626863,0.9963854
21,14546,0.79850745,0.75373137,0.9988369
22,14288,0.7835821,0.8432836,0.99984545
23,14697,0.80597013,0.8731343,0.9971227
24,14161,0.7761194,0.9029851,0.99958414
25,12386,0.67910445,0.75373137,0.99518096
26,12109,0.6641791,0.70149255,0.99656224
27,11823,0.6492537,0.58208954,0.99659544
28,12213,0.6716418,0.47014925,0.99874324
29,12054,0.6641791,0.29104477,0.99906206
30,12187,0.6716418,0.2761194,0.99860215
31,11250,0.619403,0.33582088,0.99457127
32,10703,0.5895523,0.2835821,0.9974032
33,11103,0.61194026,0.24626864,0.99428964
34,12177,0.6716418,0.20149253,0.9924576
35,13929,0.76865673,0.17910448,0.98843926
36,14603,0.80597013,0.17164178,0.9888523
37,15140,0.8358209,0.14925373,0.99542344
38,15540,0.85820895,0.111940295,0.9955328
